config_sequence,performance_ratio,score
"[0, 1, 1, 0, 67619, 522, 732, 2793, 7, 1789, 6831]",0.39287503986150973,8624.0
"[0, 0, 1, 1, 62897, 248, 509, 5653, 0, 948, 7212]",0.36330918864744205,7975.0
"[0, 1, 1, 1, 58192, 318, 360, 2426, 4, 1121, 2586]",0.47797366862557517,10492.0
"[0, 1, 1, 0, 64977, 308, 573, 5646, 5, 1591, 5094]",0.34399343993439935,7551.0
"[0, 0, 1, 1, 74597, 230, 692, 3350, 2, 1654, 7562]",0.38822832672771174,8522.0
"[1, 0, 1, 1, 64750, 594, 267, 3380, 4, 1439, 7895]",1.4495011616782834,31818.0
"[1, 0, 0, 1, 63105, 458, 794, 2950, 6, 564, 7032]",1.4123274566078994,31002.0
"[1, 1, 0, 0, 36597, 849, 618, 2886, 2, 880, 4227]",0.8642430868753131,18971.0
"[1, 0, 0, 1, 95037, 776, 603, 3413, 6, 1663, 7235]",1.407179627351829,30889.0
"[0, 1, 1, 1, 87618, 264, 315, 4226, 1, 1228, 4990]",0.36699922554781106,8056.0
"[1, 0, 1, 0, 88982, 819, 508, 3141, 3, 1620, 7254]",1.171928385950526,25725.0
"[1, 1, 1, 1, 111605, 447, 266, 3406, 1, 1786, 7013]",1.0006377841556193,21965.0
"[1, 1, 1, 1, 30992, 386, 479, 3858, 6, 1214, 2904]",1.020090200902009,22392.0
"[0, 1, 0, 0, 118510, 405, 659, 4350, 2, 1804, 6957]",0.3586169195025284,7872.0
"[1, 0, 0, 1, 102648, 676, 511, 3927, 1, 714, 4240]",1.4149241492414923,31059.0
"[0, 0, 1, 1, 32683, 462, 565, 3950, 3, 1110, 6853]",0.36248918044736,7957.0
"[1, 1, 1, 0, 37859, 712, 211, 3733, 5, 1681, 7526]",0.8613730581750262,18908.0
"[0, 0, 0, 0, 100558, 320, 772, 3795, 5, 1091, 5918]",0.3446312240900187,7565.0
"[1, 1, 1, 1, 64135, 402, 559, 5972, 6, 1646, 4947]",0.9816409275203863,21548.0
"[1, 1, 1, 1, 90423, 358, 462, 3109, 1, 536, 2578]",1.0033711448225593,22025.0
"[1, 1, 0, 0, 31613, 893, 620, 2154, 8, 679, 5266]",0.8628308505307275,18940.0
"[0, 1, 1, 1, 49718, 752, 721, 2503, 2, 1856, 3949]",0.4679969021912441,10273.0
"[1, 1, 0, 1, 52977, 735, 278, 3888, 5, 894, 8008]",1.010113434467678,22173.0
"[1, 1, 0, 0, 62641, 517, 582, 4299, 6, 1840, 7301]",0.8526718600519338,18717.0
"[0, 0, 0, 0, 37521, 641, 600, 2254, 0, 1582, 6693]",0.41988975445310006,9217.0
"[1, 1, 1, 0, 49677, 317, 245, 3348, 6, 1130, 6361]",0.7995991071021822,17552.0
"[1, 0, 0, 0, 75028, 651, 371, 2906, 7, 1862, 4091]",1.1608127192383035,25481.0
"[0, 1, 1, 1, 41622, 554, 794, 4709, 8, 1536, 3415]",0.38002824472689173,8342.0
"[1, 0, 1, 0, 101706, 361, 754, 4862, 2, 716, 3556]",1.1379891576693544,24980.0
"[0, 1, 1, 0, 51824, 379, 533, 5047, 6, 1772, 5140]",0.35702245911348,7837.0
"[1, 1, 0, 1, 88825, 738, 250, 2725, 3, 976, 2513]",0.9874265409320759,21675.0
"[1, 0, 1, 0, 33902, 689, 202, 5017, 3, 959, 5840]",1.139264725980593,25008.0
"[1, 1, 1, 1, 63741, 437, 566, 2904, 5, 646, 4634]",1.000956676233429,21972.0
"[0, 1, 0, 1, 73236, 836, 641, 2440, 0, 1942, 2825]",0.4729625074028518,10382.0
"[0, 1, 1, 1, 60021, 679, 324, 3248, 2, 800, 4743]",0.41975308641975306,9214.0
"[1, 0, 1, 1, 96825, 913, 643, 2231, 8, 1550, 5475]",1.1826796045738235,25961.0
"[0, 1, 0, 1, 34790, 768, 260, 4119, 8, 1277, 7684]",0.3599380438248827,7901.0
"[0, 1, 1, 0, 50853, 871, 658, 1528, 0, 1582, 4394]",0.4777914445811125,10488.0
"[1, 0, 1, 1, 60931, 639, 296, 4317, 8, 1678, 5175]",1.4113707803744704,30981.0
"[0, 1, 0, 1, 115673, 249, 506, 3577, 0, 948, 7519]",0.4036718144959227,8861.0
"[0, 0, 1, 0, 32860, 706, 699, 2565, 8, 1304, 6567]",0.42134754680880143,9249.0
"[0, 1, 1, 0, 81451, 885, 641, 4562, 0, 728, 2972]",0.3420800874675413,7509.0
"[1, 0, 1, 1, 94252, 543, 298, 1660, 3, 864, 2556]",1.1041865974215297,24238.0
